"path","context","role","rationale"
"packages/core/src/catalogs/artifact-generation.ts","Skill","Owner","Generates catalog artifacts from the operational catalog surface."
"packages/core/src/catalogs/index.ts","Skill","Owner","Exports skill/catalog discovery surfaces."
"packages/core/src/catalogs/keyword-registry.ts","Skill","Owner","Owns deterministic keyword-to-skill matching."
"packages/core/src/catalogs/operational-catalog.ts","Skill","Owner","Canonical operational skill catalog."
"packages/core/src/catalogs/router-cascade.ts","Skill","Owner","Owns regex/state/keyword/fallback routing order."
"packages/core/src/convergence/evaluate-convergence.ts","Run","Owner","Evaluates run-level readiness across bindings, gates, and evidence before closure."
"packages/core/src/domain/cycle/index.ts","Cycle","Owner","Exports the Cycle-owned transition policy boundary."
"packages/core/src/domain/cycle/transition-policy.ts","Cycle","Owner","Owns transition target resolution, validation, state transition calculation, and DoR/DoD governance evaluation."
"packages/core/src/domain/events.ts","Evidence","Owner","Defines domain event vocabulary and maps run-set projections to Evidence-owned event-log entries."
"packages/core/src/domain/run/index.ts","Run","Owner","Exports the Run-owned aggregate facade surface."
"packages/core/src/domain/run/run-aggregate.ts","Run","Owner","Run aggregate facade coordinates transition orchestration while delegating lifecycle legality to Cycle."
"packages/core/src/domain/run/run-invariant.ts","Run","Owner","Run-owned always-valid invariant guard for aggregate persistence."
"packages/core/src/evidence/evaluate-evidence.ts","Evidence","Owner","Computes evidence sufficiency against risk requirements."
"packages/core/src/gates/evaluate-gate.ts","Gate","Owner","Primary runtime gate policy evaluator."
"packages/core/src/gates/policy-event-blockers.ts","Gate","Owner","Maps policy events into gate blockers."
"packages/core/src/governance/load-dor-dod.ts","Cycle","Owner","Loads DoR/DoD governance for macro-cycle transitions."
"packages/core/src/hooks/hook-payload.ts","Gate","Support","Normalizes runtime hook payload aliases and builds redacted event-preview payloads for the hook service."
"packages/core/src/hooks/subagent-launch-record.ts","Subagent","Support","Builds redacted SubagentStart run-set launch contracts without creating accepted evidence."
"packages/core/src/index.ts","Shared Kernel","Support","Public export barrel; must not own workflow behavior."
"packages/core/src/install/artifact-install.ts","Install Support","Support","Filesystem install mechanics for artifacts; Skill owns catalog meaning."
"packages/core/src/install/artifact-paths.ts","Install Support","Support","Install path calculation utility."
"packages/core/src/install/artifact-rollback.ts","Install Support","Support","Rollback mechanics for installed artifacts."
"packages/core/src/install/platform-install.ts","Install Support","Support","Runtime platform install mechanics."
"packages/core/src/install/runtime-lifecycle.ts","Install Support","Support","Runtime lifecycle installation/uninstallation mechanics."
"packages/core/src/install/skill-resolver.ts","Skill","Owner","Resolves HIMA skills across public/user/org/project scopes."
"packages/core/src/install/skills-install.ts","Skill","Owner","Schema-gated installer for .hima skill artifacts."
"packages/core/src/policy/baseline-policy.ts","Gate","Owner","Baseline risk and gate policy."
"packages/core/src/policy/write-zones.ts","Gate","Owner","Write-zone policy used by pre/post tool gates."
"packages/core/src/repositories/index.ts","Run","Owner","Exports Run-owned repository adapter surfaces."
"packages/core/src/repositories/run-repository.ts","Run","Owner","Thin Run persistence adapter over planning-store functions."
"packages/core/src/risk-classifier/index.ts","Gate","Owner","Risk classification is a gate-policy input."
"packages/core/src/risk-classifier/risk-rank.ts","Gate","Owner","Risk ranking supports gate-policy decisions."
"packages/core/src/risk-classifier/types.ts","Gate","Owner","Risk classifier types belong with gate-policy classification."
"packages/core/src/runtime/runtime-bindings.ts","Runtime Support","Support","Runtime capability assessment facts consumed by Gate and Run."
"packages/core/src/runtime/runtime-probe.ts","Runtime Support","Support","Runtime probing utility; does not decide gate outcomes alone."
"packages/core/src/runtime/runtime-profiles.ts","Runtime Support","Support","Runtime profile facts for capability binding."
"packages/core/src/runtime/runtime-proofs.ts","Runtime Support","Support","Runtime proof helpers consumed by binding assessment."
"packages/core/src/schemas/common.ts","Shared Kernel","Support","Common Zod primitives shared across contexts."
"packages/core/src/schemas/current-risk.schema.ts","Run","Owner","Persisted run risk snapshot; Gate owns classification logic."
"packages/core/src/schemas/gate-event.schema.ts","Gate","Owner","Canonical runtime gate event payload."
"packages/core/src/schemas/run-set.schema.ts","Run","Physical owner","Run aggregate projection file; semantic ownership is split by line range in core-bounded-context-map.md."
"packages/core/src/schemas/skill.schema.ts","Skill","Owner","Locked SKILL.md frontmatter schema for parse-time skill validation."
"packages/core/src/schemas/state.schema.ts","Run","Owner","Planning state snapshot schema for the run."
"packages/core/src/security/redaction.ts","Security Support","Support","Cross-context secret redaction utility."
"packages/core/src/services/add-evidence.ts","Evidence","Owner","Application service for adding proof records."
"packages/core/src/services/close-run.ts","Run","Owner","Application service for run finalization."
"packages/core/src/services/enter-development.ts","Run","Owner","Application service for entering governed run mode."
"packages/core/src/services/get-status.ts","Run","Owner","Application service for run status projection."
"packages/core/src/services/handle-hook.ts","Gate","Owner","Application service for runtime hook events and gate verdict persistence."
"packages/core/src/services/init-project.ts","Run","Owner","Application service for run/planning project initialization."
"packages/core/src/services/request-transition.ts","Run","Owner","Application service for Run transition orchestration; Cycle owns transition legality."
"packages/core/src/state-machine/machine.ts","Cycle","Owner","Lifecycle machine definition."
"packages/core/src/state-machine/subphases.ts","Cycle","Owner","Subphase ordering and transition validation vocabulary."
"packages/core/src/state-machine/transition.ts","Cycle","Compatibility export","Compatibility surface over the Cycle-owned transition policy boundary."
"packages/core/src/storage/atomic-write.ts","Storage Support","Support","Atomic write primitive used by persistence contexts."
"packages/core/src/storage/events-log.ts","Evidence","Owner","Append-only evidence/event stream."
"packages/core/src/storage/file-lock.ts","Storage Support","Support","Locking primitive; no domain ownership."
"packages/core/src/storage/hash-chained-ledger.ts","Evidence","Owner","Hash-chain integrity for evidence and run events."
"packages/core/src/storage/json.ts","Storage Support","Support","JSON persistence primitive."
"packages/core/src/storage/planning-paths.ts","Run","Owner","Run planning-state path convention."
"packages/core/src/storage/planning-store.ts","Run","Owner","Read/write persistence boundary for the run aggregate projection."
"packages/core/src/storage/safe-write.ts","Storage Support","Support","Safe write primitive used by persistence contexts."
"packages/core/src/storage/yaml.ts","Storage Support","Support","YAML persistence primitive."
"packages/core/src/types/canonical.ts","Shared Kernel","Support","Canonical enum/value primitives shared by all contexts."
"packages/core/src/types/errors.ts","Shared Kernel","Support","Shared error type used across contexts."
"packages/core/src/types/gate-type.ts","Gate","Owner","Validated immutable GateType value-object boundary."
"packages/core/src/types/operating-mode.ts","Run","Owner","Validated immutable OperatingMode value-object boundary for Run/Gate coordination."
"packages/core/src/types/risk-class.ts","Gate","Owner","Validated immutable RiskClass value-object boundary."
"packages/core/src/types/subphase.ts","Cycle","Owner","Validated immutable SubPhase value-object boundary."
