claim_id,claim_scope,claim,substantiation_tier,source,evidence_status,falsifier,owner,expiry,next_action
CLM-001,license,"The public local core must remain MIT and must not be relicensed restrictively after adoption.",T1,"docs/business-model/strategy-diagnosis.md;docs/business-model/decision-2026-05-03-mit-core-cloud-enterprise.md",decision-anchored,"Any public release or policy moves already-public local-core capabilities behind a restrictive license or paid gate.","strategy","permanent","Keep license boundary visible before any public release or pricing copy."
CLM-002,license,"Capabilities necessary for the local core to feel legitimate must stay in the public core; monetization must sell additive convenience, maintenance, cloud, team, enterprise, compliance, or support value.",T1,"docs/business-model/strategy-diagnosis.md;docs/business-model/decision-2026-05-03-mit-core-cloud-enterprise.md",decision-anchored,"A pricing or packaging decision removes local risk classification, hooks, skills, adapters, or evidence machinery from the public core to force conversion.","strategy","permanent","Review each pricing and packaging change against R2 before launch."
CLM-003,pricing,"The founding tier must not use the word lifetime; use Founding Member or Perpetual v1.x License instead.",T1,"docs/business-model/strategy-diagnosis.md;docs/business-model/verification-01-lifetime-pricing.md",decision-anchored,"Any public offer, checkout text, FAQ, license, or launch post labels the cohort as lifetime.","business","permanent","Add naming lint to launch-copy review before sale-page work."
CLM-004,pricing,"A capped 1000-seat founding cohort at roughly 249-299 USD is a hypothesis, not proven demand.",T3,"docs/business-model/strategy-diagnosis.md;docs/business-model/business-model-proposal.md;docs/business-model/verification-01-lifetime-pricing.md",locally-researched-hypothesis,"Sale page analytics, cancelled-cart feedback, interviews, or beta survey data show demand is below threshold, support burden is too high, or buyers reject the perpetual v1.x framing.","business","2026-08-01","Revalidate with checkout copy, waitlist intent, and cancelled-cart survey before accepting money."
CLM-005,release,"The project is not publicly released yet; npm registry, external init, sale-page transaction, and public tag evidence are still required before claiming launch.",T1,"docs/goals/COMPLETE-CONSTRUCTION-GOAL.md;docs/excellence-application/05-architecture/stream-h-api-stability-review.md;packages/core/package.json;packages/cli/package.json",repo-state-anchored,"A real npm registry lookup, public release tag, external `hima init`, and sale-page test transaction exist and are linked in the release evidence ledger.","release","until-release","Keep public-launch wording blocked until release evidence exists."
CLM-006,install,"A naive developer should be able to install and reach a first quality-gated commit in under 15 minutes.",T4,"docs/goals/COMPLETE-CONSTRUCTION-GOAL.md",unverified-target,"A fresh external tester on Linux, macOS, or Windows cannot install and complete the path, or median time exceeds 15 minutes.","product","before-beta","Run timed external install tests after real package publication."
CLM-007,runtime,"Three production-ready runtime adapters are a required release target, but current evidence is local/static unless real runtime/model sessions are authorized and executed.",T4,"docs/goals/COMPLETE-CONSTRUCTION-GOAL.md;docs/goals/completion-audit-runtime-boundary.md",blocked-by-runtime-authorization,"Claude, Codex, or Hermes real sessions fail end-to-end, cannot pass hook payloads, or cannot produce accepted evidence under the adapter contract.","runtime","before-release","Run authorized real adapter E2E sessions and attach transcripts."
CLM-008,competitive,"No current developer-terminal product combines session-scoped regulatory risk classification, evidence-based completion gates, governance-portable runtime policy, and developer-session EU AI Act evidence packs.",T2,"docs/business-model/strategy-diagnosis.md;docs/business-model/verification-02-competitive-matrix.md;docs/excellence-application/02-analysis-discovery/competitive-harness-scan.md;docs/excellence-application/02-analysis-discovery/swarm-deep/adversarial-moat-falsifier.md;docs/excellence-application/02-analysis-discovery/swarm-deep/deep-code-top8.md",locally-cross-checked,"A direct developer-terminal competitor ships at least three of the four sharpened traits in GA, or Microsoft AGT, Codex enterprise, Augment Intent, or a Copilot CLI bundle crosses into session-tier evidence packs.","strategy","2026-09-01","Refresh competitor monitor before any homepage or launch claim."
CLM-009,competitive,"Raw multi-runtime execution is table stakes and must not be used alone as the moat.",T1,"docs/business-model/strategy-diagnosis.md;docs/business-model/business-model-proposal.md;docs/business-model/verification-02-competitive-matrix.md",repo-decision-anchored,"Marketing or positioning copy treats multi-runtime execution by itself as the defensible gap after the D1 sharpening evidence.","strategy","permanent","Keep the moat phrased around governance portability and evidence, not raw runtime count."
CLM-010,market,"EU AI Act pressure makes developer-session evidence packs strategically valuable for some buyers, but it is not proof of customer demand or legal certification.",T3,"docs/business-model/strategy-diagnosis.md;docs/business-model/business-model-proposal.md;docs/business-model/research-09-ai-governance-market.md",locally-researched-hypothesis,"Regulatory timing changes, buyer interviews reject session-level evidence packs, or public copy implies legal certification instead of evidence support.","compliance","2026-09-01","Validate with compliance-aware beta users and legal-copy review before external claims."
